ID,Star,Sum.Polarity,Avg.Polarity,Num.Verb,Num.Adjective,Num.Noun
tlswldn0***,6,1,0.5,0,1,1
tkddk1***,10,2,2.0,0,1,0
noba***,10,2,2.0,0,1,0
noba***,10,2,2.0,0,1,0
killi***,4,0,0.0,2,0,0
jw700***,8,4,2.0,0,2,0
yitkfkd***,10,2,2.0,0,1,0
mi1youn***,10,4,2.0,0,2,0
yusm4***,10,2,2.0,0,1,0
ysy2***,10,4,1.0,0,4,0
ysy2***,10,1,0.33,0,2,1
ysy2***,10,-1,-0.2,0,4,1
shan***,10,-1,-1.0,0,1,0
seongheun0***,10,2,2.0,0,1,0
seongheun0***,10,2,0.67,1,2,0
sunmin***,10,2,2.0,0,1,0
sm***,6,1,0.5,0,2,0
wdt2***,10,2,2.0,0,1,0
j98322***,10,2,2.0,0,1,0
seongheun0***,10,4,2.0,0,2,0
dldpwn1***,10,2,2.0,0,1,0
369wjd***,10,2,2.0,0,1,0
leehyun***,10,1,1.0,1,0,0
jyj9***,10,-1,-0.33,2,0,1
yitkfkd***,10,0,0.0,0,0,3
jwj0***,10,0,0.0,0,1,1
zza***,10,-2,-2.0,0,1,0
pret***,10,2,2.0,0,1,0
ygm9***,10,2,2.0,0,0,1
kier***,10,2,2.0,0,1,0
leesy***,10,2,2.0,0,0,1
zlaqjffl7***,6,2,2.0,0,1,0
hyi***,8,2,2.0,0,1,0
deepblu***,10,0,0.0,0,2,0
alsdud0***,8,-1,-1.0,0,1,0
gpfls0***,10,-1,-1.0,0,1,0
hw04***,10,-1,-0.33,0,2,1
star***,10,2,2.0,0,1,0
star***,10,2,2.0,0,1,0
star***,10,2,2.0,0,1,0
dpflf1***,10,1,1.0,1,0,0
kjjm***,4,-1,-1.0,0,1,0
ruphin***,6,2,2.0,0,1,0
wldud0***,6,2,2.0,0,1,0
scjan***,10,3,1.5,1,1,0
elma***,6,-2,-2.0,0,1,0
coco***,10,-2,-2.0,0,1,0
sn***,10,2,2.0,0,1,0
gpfls0***,8,-1,-1.0,0,1,0
jenna981***,8,2,2.0,0,1,0
krw***,8,1,1.0,1,0,0
asme***,8,2,2.0,0,1,0
mii***,10,3,1.5,0,2,0
asme***,8,2,2.0,0,0,1
krw***,10,0,0.0,2,1,1
xkfk1***,6,2,2.0,0,1,0
shin2ci***,10,2,2.0,0,1,0
gys***,8,2,2.0,0,1,0
eunju1***,10,2,2.0,0,1,0
seicayui0***,10,2,2.0,0,1,0
jostar0***,8,2,2.0,0,1,0
e4j***,10,-3,-1.5,0,1,1
esse0***,10,2,1.0,0,1,1
rraauu***,10,2,2.0,0,0,1
coco***,10,-1,-0.33,0,2,1
smel***,10,2,2.0,0,1,0
yigm8***,10,4,2.0,1,1,0
sojinchen_hu***,10,4,2.0,0,1,1
asas9***,10,0,0.0,0,3,0
ehdrmfl0***,10,4,2.0,0,1,1
vnvn***,10,2,2.0,0,1,0
cyan0***,10,9,0.6,0,11,4
byj0***,8,8,0.89,1,6,2
tmddnj***,10,2,2.0,0,1,0
jw700***,6,1,0.5,0,2,0
isabel1***,8,4,0.8,1,4,0
ly***,6,2,2.0,0,1,0
dl890***,10,3,1.5,1,0,1
dlwpdm***,10,3,1.5,0,1,1
iri***,10,2,2.0,0,1,0
ma1t***,6,3,0.75,0,3,1
toruie***,10,2,2.0,0,1,0
dlsqp***,6,2,2.0,0,1,0
pmh7***,6,-2,-1.0,0,1,1
pmh7***,8,-2,-2.0,0,1,0
blueska***,10,10,2.0,0,2,3
stella2***,10,2,2.0,0,1,0
ksjhsi***,8,0,0.0,0,3,0
pi***,10,2,0.67,0,3,0
alewlah***,10,-2,-2.0,0,1,0
vndk0***,6,1,1.0,0,0,1
ekgml8***,6,-1,-1.0,0,1,0
rarary***,8,2,2.0,0,0,1
goodtime0***,6,1,1.0,1,0,0
goodtime0***,6,0,0.0,0,1,1
syk***,10,3,1.5,0,2,0
hyoni***,8,2,2.0,0,1,0
vnvn***,10,2,2.0,0,0,1
toruie***,10,4,2.0,0,2,0
cmj4***,10,2,2.0,0,1,0
cmj4***,10,1,1.0,0,0,1
cmj4***,10,4,2.0,0,2,0
ahnmy***,6,6,2.0,0,3,0
happymous***,8,1,1.0,0,1,0
amber2***,6,2,2.0,0,1,0
songi***,10,2,2.0,0,1,0
wjdvlfr***,8,-3,-1.5,0,1,1
ssol0***,10,2,2.0,0,1,0
k9j***,4,2,2.0,0,1,0
swk04***,10,-3,-1.5,0,1,1
ryuel0***,10,2,2.0,0,1,0
swk04***,10,1,0.33,0,3,0
